,player,team,lg,season,replaced
929,Xavier McDaniel,West,NBA,1988,False
930,Hakeem Olajuwon,West,NBA,1988,False
931,Alvin Robertson,West,NBA,1988,False
932,James Worthy,West,NBA,1988,False
933,Charles Barkley,East,NBA,1987,False
934,Larry Bird,East,NBA,1987,False
935,Maurice Cheeks,East,NBA,1987,False
936,Julius Erving,East,NBA,1987,False
937,Michael Jordan,East,NBA,1987,False
938,Bill Laimbeer,East,NBA,1987,False
939,Jeff Malone,East,NBA,1987,False
940,Moses Malone,East,NBA,1987,False
941,Kevin McHale,East,NBA,1987,False
942,Robert Parish,East,NBA,1987,False
943,Isiah Thomas,East,NBA,1987,False
944,Dominique Wilkins,East,NBA,1987,False
945,Kareem Abdul-Jabbar,West,NBA,1987,False
946,Mark Aguirre,West,NBA,1987,False
947,Rolando Blackman,West,NBA,1987,False
948,Joe Barry Carroll,West,NBA,1987,False
949,Tom Chambers,West,NBA,1987,False
950,Walter Davis,West,NBA,1987,False
951,Alex English,West,NBA,1987,False
952,Sleepy Floyd,West,NBA,1987,False
953,Magic Johnson,West,NBA,1987,False
954,Hakeem Olajuwon,West,NBA,1987,False
955,Alvin Robertson,West,NBA,1987,False
956,Ralph Sampson,West,NBA,1987,True
957,James Worthy,West,NBA,1987,False
958,Larry Bird,East,NBA,1986,False
959,Maurice Cheeks,East,NBA,1986,False
960,Julius Erving,East,NBA,1986,False
961,Patrick Ewing,East,NBA,1986,True
962,Michael Jordan,East,NBA,1986,True
